Kosakata,Makna,Mnemonik,Contoh_kalimat
thrall,State of being enslaved,Trawl (jaring): Tertangkap di jaring (diperbudak/ditawan).,The audience was completely in thrall to the magician's stunning performance.
thwart,To frustrate,War (perang): Menggagalkan perang (menghalangi/menggagalkan).,The police managed to thwart the bank robbery before anyone was hurt.
tilt,"To lean forward, as if to attack",Tilt: Miring/condong.,Don't tilt the glass too much or the water will spill.
timidity,Lacking in self-assurance,Timid: Sifat rasa malu/penakut.,His timidity prevented him from asking the girl to dance.
tirade,"Long, passionate speech against something",Tired (lelah): Membuat telinga lelah karena omelan panjang.,The coach launched into an aggressive tirade after the team's lazy performance.
titillate,To excite or arouse,Tickle (menggelitik): Menggelitik untuk membangkitkan gairah/menggairahkan.,The thriller novel is designed to titillate readers with suspense and romance.
titular,Holding a position in name only,Title (gelar): Cuma punya gelar tapi tak ada kuasa (pemimpin nominal/formalitas).,"The Queen is the titular head of state, but the Prime Minister holds the real power."
torpid,Dull; sluggish; inactive,Torpedo: Torpedo yang gagal meluncur karena lamban/mati rasa.,"The hot, humid afternoon made everyone feel sluggish and torpid."
tortuous,Abounding in irregular bends,Torture (siksaan): Jalannya berliku-liku bikin tersiksa (berbelit-belit/penuh liku).,The tortuous mountain trail took five hours to navigate.
tractable,Docile; easily controlled,Traktor: Mudah disetir seperti traktor (patuh/mudah diatur).,The new software is highly tractable and easy to customize for our needs.
transgression,Violation; sin,Trans (lewat) + garis: Melewati batas (pelanggaran/dosa).,His transgression of the school rules resulted in a one-week suspension.
transience,Temporary state,Transit: Cuma mampir sebentar (sementara/fana).,The cherry blossoms are loved precisely because of their beautiful transience.
transmute,To change,Mutasi: Mengubah bentuk/sifat.,The alchemist believed he could transmute lead into gold.
transparent,Easily detected,Transparan: Tembus pandang/jelas.,The company's hiring process is entirely transparent and fair.
transpire,"To happen, to be revealed",Inspirasi turun: Terjadi dan terungkap (terjadi/bocor rahasianya).,It later transpired that the CEO had known about the fraud all along.
trepidation,Nervous feeling; fear,Trap (perangkap): Takut masuk perangkap (ketakutan/kegelisahan).,She walked into the haunted house with a great deal of trepidation.
truculence,Ferocity,Truk: Tabrakan truk yang sangat garang (keganasan).,The criminal's truculence made him a danger to the prison guards.
truculent,"Harsh, brutal",Truk: Sopir truk yang brutal/kasar dan suka melawan.,The truculent teenager argued with everyone who tried to help him.
turgid,"Inflated, pompous; swollen",Target: Bicaranya membesar-besarkan target (bengkak/muluk-muluk).,The author's turgid writing style made the novel incredibly boring to read.
tutelage,Act of training,Tutor: Berada di bawah asuhan tutor (bimbingan/pengawasan).,"Under the wise tutelage of her mentor, she became an expert pianist."
tyro,"Beginner, novice",Try: Orang yang baru mencoba (pemula).,"As a tyro in the world of investing, he bought books to learn the basics."
ubiquitous,Present everywhere,Ubi: Tukang ubi goreng ada di mana-mana (ada di mana-mana).,Smartphones have become ubiquitous in modern society.
umbrage,Sense of having been injured,Umbrella: Tersinggung karena tak diberi payung saat hujan (rasa tersinggung).,She took umbrage at his sarcastic comment about her dress.
unassuaged,Not soothed or relieved,Un (tidak) + assoy: Perasaannya tidak assoy/belum lega (belum reda/belum terpuaskan).,His guilt remained unassuaged despite his repeated apologies.
uncouth,Clumsy; rude,"Un-cute: Sikapnya tidak imut sama sekali, sangat kasar/kampungan.",Chewing with your mouth open is generally considered uncouth behavior.
undermine,To weaken or derail,Under + mine: Menggali ranjau di bawah fondasi (melemahkan diam-diam).,The constant criticism began to undermine her confidence.
unerringly,Without fail,Un-error: Tanpa error (tanpa salah/tepat sasaran).,The bloodhound unerringly followed the scent of the missing hiker.
ungainly,Awkward; clumsy,Un-gain: Sulit mendapat keuntungan karena gerakannya canggung/kikuk.,The baby giraffe was ungainly as it tried to take its first wobbly steps.
unison,Complete accord,Soni (suara): Suara yang sama bulat (serempak/kesepakatan).,The choir sang the final notes in perfect unison.
unruly,Disobedient,Un-rule: Tidak mematuhi aturan (bandel/sulit diatur).,The teacher struggled to control the unruly class of first-graders.
untenable,Indefensible,Un-tent: Tenda yang tak bisa menahan badai (tidak dapat dipertahankan/alasan lemah).,His argument became untenable after the new evidence was revealed.
upbraid,To reproach as deserving blame,Up + braid: Menarik kepang rambutnya ke atas sambil memarahinya (memarahi keras/mencela).,The general upbraided his soldiers for their sloppy uniforms.
urbanity,Refined courtesy or politeness,Urban (kota): Bersikap sopan santun ala orang kota besar (kesopanan/kehalusan budi).,The diplomat handled the delicate situation with great urbanity and charm.
vacillate,To waver; to fluctuate,Fosil: Bergetar bimbang apakah ini fosil atau bukan (bimbang/ragu-ragu).,She vacillated between ordering the steak and the seafood for ten minutes.
vagabond,Wanderer,Vagabond: Pengembara/gelandangan.,"The vagabond wandered from town to town, sleeping wherever he could."
vainglorious,Excessive; pretentious,Vain (sia-sia) + glory: Membanggakan kejayaan yang sia-sia (sangat sombong/angkuh).,The vainglorious actor demanded a mirror in every room of his trailer.
valorous,Courageous,Valor (berani): Pahlawan yang gagah berani.,The knight was awarded a medal for his valorous deeds in battle.
vantage,Position giving advantage,Advantage: Posisi yang memberi keuntungan strategis.,"From our vantage point on the hill, we could see the entire valley."
vapid,Having lost quality and flavor; dull,Vapor (uap): Rasanya menguap hilang (hambar/membosankan).,The reality TV show was filled with vapid conversations about shopping.
variegated,Many-colored,Variasi: Beragam warnanya (beraneka ragam/belang-belang).,The garden was filled with variegated flowers in every color of the rainbow.
vehement,Forceful,Helm: Melempar helm dengan kuat karena marah (penuh semangat/keras/hebat).,He issued a vehement denial of the corruption charges.
veneer,Thin covering to improve appearance,Veneer (gigi): Lapisan tipis di gigi agar bagus (lapisan penutup luar/kedok).,"Behind his veneer of politeness, he is actually very cruel."
venerate,To look upon with deep respect,Veteran: Menghormati veteran perang (sangat menghormati/memuja).,"In many cultures, it is customary to venerate one's ancestors."
veracious,Truthful,Verify: Sesuatu yang bisa diverifikasi itu jujur/benar.,The veracious witness told exactly what happened without omitting any details.
verbiage,Use of many words,Verb: Terlalu banyak kata kerja/bertele-tele (berlebihan kata).,The legal contract was full of unnecessary verbiage that confused the clients.
verbose,Wordy,Verbal boss: Bos yang ngomongnya panjang lebar (bertele-tele/banyak omong).,The verbose speaker took an hour to explain a five-minute topic.
vestigial,Occurring as a rudimentary structure,Vest (baju sisa): Sisa-sisa evolusi organ (sisa/meninggalkan jejak evolusi).,The human appendix is considered a vestigial organ with no clear function.
viable,Capable of living or succeeding,Via: Bisa lewat jalan (via) ini (bisa hidup/dapat dilaksanakan).,Solar power is becoming a highly viable alternative to fossil fuels.
vicissitude,Change of condition or circumstances,Visi: Visi hidup yang terus berubah (perubahan nasib/pasang surut).,The vicissitudes of life can turn a rich man into a beggar overnight.
vigor,Strength; stamina; power,Figur: Punya figur tubuh yang kuat (stamina/semangat/tenaga).,"Despite his old age, he exercises with the vigor of a twenty-year-old."
virtuosity,Character or ability of an expert,Virtuoso: Keahlian tingkat dewa dalam seni (keahlian teknis tingkat tinggi).,The violinist played the incredibly complex piece with flawless virtuosity.
virulence,Intense sharpness of anger; intensity,Virus: Jahat dan menyebar seperti virus (keganasan/kebencian hebat).,The virulence of the new virus strain alarmed health officials.
visage,"Face, especially features/expression",Vision: Wajah yang masuk dalam penglihatan (wajah/paras/raut muka).,The weary traveler's visage showed the harshness of his long journey.
viscous,Sticky; gluey,Viskositas: Sifat cairan kental (kental/lengket).,Honey and syrup are examples of highly viscous liquids.
vituperate,Overwhelm with wordy abuse,Pit viper: Mulut berbisa bagai ular viper (mencaci maki dengan kasar).,The angry coach vituperated the referee for the terrible penalty call.
vociferous,Making a loud outcry,Voice: Suara berisik dan lantang (berisik/bersuara keras menuntut).,The union workers were vociferous in their demands for higher pay.
volatile,Changeable; explosive,Volatil: Mudah menguap/meledak (mudah berubah/meledak-ledak).,The stock market can be highly volatile during election years.
volition,Willful choice or decision,Volunteer: Melakukan dengan kehendak sendiri (kemauan/pilihan sadar).,"She left the company of her own volition, nobody forced her to resign."
voluble,Fluent; talkative,Volume: Volume suaranya diputar terus (fasih/banyak bicara).,The voluble host kept the party lively with endless stories and jokes.
warranted,Justified,Surat perintah (warrant): Memiliki dasar surat yang benar (dibenarkan/dijamin).,The police use of force was not warranted in such a minor situation.
wary,Very cautious,Awas (beware): Sangat waspada/berhati-hati.,You should be wary of emails asking for your banking password.
welter,Turmoil (noun); to roll/toss (verb),Water: Tergulung ombak air besar (kekacauan/bergulingan).,The suspect's story was a welter of confusing lies and contradictions.
whet,To sharpen or stimulate,Wet (basah): Membasahi batu asahan untuk menajamkan pisau (mengasah/merangsang).,The delicious smell of garlic bread helped to whet my appetite.
whimsical,Fanciful,Whim: Berdasar iseng belaka (lucu/aneh/banyak tingkah).,The author writes whimsical children's stories about talking animals.
whorl,Circular or spiral arrangement,Whirl (berputar): Putaran badai (susunan melingkar/spiral).,The fingerprints on the glass showed a distinct pattern of whorls.
winsome,Attractive; charming,Win some (hati): Memenangkan hati banyak orang (sangat menarik/menawan).,The little girl's winsome smile won over the grumpy old man.
wreak,Inflict,Wreck (hancur): Menyebabkan kehancuran (menimpakan hukuman/bencana).,The hurricane is expected to wreak absolute havoc on the coastal towns.
writhe,Twist,Ring: Berputar melilit seperti cincin (menggeliat kesakitan).,"The player fell to the ground, writhing in pain after the tackle."
yore,Time past,Years: Tahun-tahun yang lama berlalu (zaman dahulu).,"In days of yore, knights fought dragons to save princesses."
zealot,Fanatic,Zeal (semangat): Orang yang terlalu semangat (orang yang sangat fanatik).,The political zealot refused to listen to anyone who disagreed with him.
zeitgeist,Intellectual and moral tendencies of age,Time (zeit) + ghost (geist): Roh/semangat zaman (semangat sebuah zaman/tren era).,The novel perfectly captured the rebellious zeitgeist of the 1960s.
